recipe_id,title,description,category,cuisine,meal_type,is_vegan,is_vegetarian,directions,ingredients_json
11,Greek Pasta Salad,"Cold pasta tossed with feta, olives, tomatoes, and cucumber in a lemon vinaigrette.",salad,Greek,lunch,False,True,"Cook pasta according to package directions, drain and rinse with cold water. Halve cherry tomatoes, dice cucumber, and thinly slice red onion. In a large bowl, combine pasta, tomatoes, cucumber, onion, sliced olives, and crumbled feta. For dressing, whisk lemon juice, olive oil, oregano, garlic, salt, and pepper. Pour dressing over salad and toss well. Refrigerate for at least 1 hour before serving to allow flavors to develop. Garnish with fresh herbs and serve cold.","[{""name"": ""pasta"", ""quantity"": 1, ""unit"": ""pound""}, {""name"": ""feta cheese"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""olive"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""cherry tomato"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""cucumber"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""red onion"", ""quantity"": 0.5, ""unit"": ""piece""}, {""name"": ""lemon"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""oregano"", ""quantity"": 1, ""unit"": ""teaspoon""}]"
12,Chicken Enchiladas,"Rolled tortillas filled with shredded chicken and cheese, covered in red enchilada sauce.",main dish,Mexican,dinner,False,False,"Preheat oven to 180 degrees Celsius. Cook chicken in boiling water for 20 minutes until done, then shred. Mix shredded chicken with diced onion, cumin, and half the cheese. Spread quarter cup enchilada sauce in a baking dish. Fill each tortilla with chicken mixture, roll up, and place seam-side down in dish. Pour remaining enchilada sauce over tortillas and sprinkle with remaining cheese. Bake for 20-25 minutes until cheese is melted and bubbly. Serve hot with sour cream, cilantro, and sliced avocado.","[{""name"": ""chicken breast"", ""quantity"": 1, ""unit"": ""pound""}, {""name"": ""tortilla"", ""quantity"": 8, ""unit"": ""piece""}, {""name"": ""enchilada sauce"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""cheddar cheese"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""sour cream"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""cumin"", ""quantity"": 1, ""unit"": ""teaspoon""}]"
13,Blueberry Oatmeal,Creamy steel-cut oats cooked with cinnamon and topped with fresh blueberries.,breakfast,American,breakfast,True,True,"Bring almond milk to a boil in a medium saucepan. Stir in oats and reduce heat to low. Simmer for 20-25 minutes, stirring occasionally, until oats are tender and creamy. Stir in cinnamon, vanilla, and maple syrup. Add half the blueberries and cook for 2 more minutes until berries start to burst. Remove from heat and let stand for 5 minutes to thicken. Divide into bowls and top with remaining fresh blueberries, a drizzle of maple syrup, and chopped almonds if desired.","[{""name"": ""oats"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""blueberry"", ""quantity"": 1.5, ""unit"": ""cup""}, {""name"": ""almond milk"", ""quantity"": 3, ""unit"": ""cup""}, {""name"": ""maple syrup"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""cinnamon"", ""quantity"": 1, ""unit"": ""teaspoon""}, {""name"": ""vanilla"", ""quantity"": 1, ""unit"": ""teaspoon""}]"
14,Pad Thai,"Classic Thai stir-fried noodles with shrimp, peanuts, and tamarind sauce.",main dish,Asian,dinner,False,False,"Soak rice noodles in warm water for 30 minutes, then drain. Mix tamarind paste, fish sauce, sugar, and water for sauce. Heat oil in a wok over high heat. Cook shrimp for 2 minutes until pink, remove. Add beaten eggs and scramble. Add noodles and sauce, toss for 2 minutes. Return shrimp to wok with bean sprouts and sliced scallions. Toss everything together for 1 minute. Serve immediately topped with crushed peanuts, lime wedges, and cilantro.","[{""name"": ""rice noodles"", ""quantity"": 0.5, ""unit"": ""pound""}, {""name"": ""shrimp"", ""quantity"": 0.5, ""unit"": ""pound""}, {""name"": ""tamarind paste"", ""quantity"": 2, ""unit"": ""tablespoon""}, {""name"": ""fish sauce"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""egg"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""bean sprout"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""peanut"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""scallion"", ""quantity"": 4, ""unit"": ""piece""}]"
15,Avocado Toast,"Toasted sourdough topped with mashed avocado, cherry tomatoes, and everything bagel seasoning.",breakfast,American,breakfast,True,True,"Toast bread slices until golden and crispy. Halve avocados, remove pits, and scoop flesh into a bowl. Mash with a fork and mix in lemon juice, salt, and pepper. Spread mashed avocado generously on each toast. Halve cherry tomatoes and arrange on top. Sprinkle with red pepper flakes and everything bagel seasoning. Drizzle with olive oil if desired. Serve immediately while bread is still warm and crispy.","[{""name"": ""sourdough bread"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""avocado"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""cherry tomato"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""lemon"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""red pepper flakes"", ""quantity"": 0.5, ""unit"": ""teaspoon""}]"
16,Chicken Satay,Grilled marinated chicken skewers served with peanut sauce.,appetizer,Asian,snack,False,False,"Cut chicken into 1-inch strips. Mix coconut milk, curry powder, soy sauce, and honey for marinade. Add chicken and marinate for at least 2 hours. For peanut sauce, whisk peanut butter, lime juice, soy sauce, honey, and water until smooth. Thread chicken onto skewers. Grill or broil for 3-4 minutes per side until cooked through and slightly charred. Serve hot with peanut sauce, cucumber slices, and lime wedges on the side.","[{""name"": ""chicken thigh"", ""quantity"": 1.5, ""unit"": ""pound""}, {""name"": ""coconut milk"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""curry powder"", ""quantity"": 1, ""unit"": ""tablespoon""}, {""name"": ""peanut butter"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""soy sauce"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""lime"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""honey"", ""quantity"": 2, ""unit"": ""tablespoon""}]"
17,Lamb Kofta,Spiced ground lamb skewers grilled until charred and juicy.,main dish,Middle Eastern,dinner,False,False,"Finely mince onion, parsley, and garlic. In a large bowl, combine ground lamb, onion, parsley, garlic, cumin, coriander, salt, and pepper. Mix thoroughly with your hands. Divide mixture into 8 portions and shape around metal skewers into long oval shapes. Refrigerate for 30 minutes to firm up. Grill over high heat for 3-4 minutes per side until charred outside but still juicy inside. Serve with flatbread, tzatziki sauce, sliced tomatoes, and pickled vegetables.","[{""name"": ""ground lamb"", ""quantity"": 1.5, ""unit"": ""pound""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""parsley"", ""quantity"": 8, ""unit"": ""tablespoon""}, {""name"": ""cumin"", ""quantity"": 2, ""unit"": ""teaspoon""}, {""name"": ""coriander"", ""quantity"": 1, ""unit"": ""teaspoon""}, {""name"": ""garlic"", ""quantity"": 4, ""unit"": ""piece""}]"
18,Singapore Noodles,"Curry-spiced rice noodles stir-fried with shrimp, vegetables, and eggs.",main dish,Chinese,dinner,False,False,"Soak rice noodles in hot water for 15 minutes, then drain. Heat oil in a wok over high heat and scramble eggs, remove. Add shrimp and cook until pink, remove. Add more oil and stir-fry sliced bell pepper for 2 minutes. Add curry powder and cook for 30 seconds. Add noodles, soy sauce, and a splash of water. Toss for 2 minutes. Return shrimp and eggs to wok with sliced scallions. Toss everything together and serve immediately.","[{""name"": ""rice noodles"", ""quantity"": 0.5, ""unit"": ""pound""}, {""name"": ""shrimp"", ""quantity"": 0.5, ""unit"": ""pound""}, {""name"": ""curry powder"", ""quantity"": 2, ""unit"": ""tablespoon""}, {""name"": ""bell pepper"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""egg"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""soy sauce"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""scallion"", ""quantity"": 4, ""unit"": ""piece""}]"
19,French Onion Soup,"Rich beef broth with caramelized onions, topped with toasted bread and melted cheese.",soup,French,lunch,False,False,"Thinly slice onions. Melt butter in a large pot over medium heat. Add onions and cook for 35-40 minutes, stirring often, until deeply caramelized and golden brown. Add white wine and scrape up browned bits. Pour in beef broth and thyme, simmer for 20 minutes. Season with salt and pepper. Toast bread slices. Ladle soup into oven-safe bowls, top each with toasted bread and grated gruyere. Broil for 2-3 minutes until cheese is melted and bubbly. Serve immediately.","[{""name"": ""onion"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""beef broth"", ""quantity"": 6, ""unit"": ""cup""}, {""name"": ""butter"", ""quantity"": 3, ""unit"": ""tablespoon""}, {""name"": ""bread"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""gruyere cheese"", ""quantity"": 1.5, ""unit"": ""cup""}, {""name"": ""white wine"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""thyme"", ""quantity"": 2, ""unit"": ""teaspoon""}]"
20,Veggie Frittata,"Italian egg dish loaded with vegetables and cheese, baked until golden.",breakfast,Italian,breakfast,False,True,"Preheat oven to 190 degrees Celsius. Dice bell pepper, zucchini, and onion. Saute vegetables in an oven-safe skillet until softened. Whisk eggs with milk, salt, and pepper. Pour eggs over vegetables and cook for 2 minutes without stirring. Crumble feta on top. Transfer skillet to oven and bake for 15-18 minutes until eggs are set and top is golden. Let cool for 5 minutes, then slice into wedges. Serve warm or at room temperature with toast.","[{""name"": ""egg"", ""quantity"": 8, ""unit"": ""piece""}, {""name"": ""bell pepper"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""zucchini"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""feta cheese"", ""quantity"": 0.75, ""unit"": ""cup""}, {""name"": ""milk"", ""quantity"": 0.25, ""unit"": ""cup""}]"
21,Chicken Parmesan,Breaded chicken cutlets topped with marinara sauce and melted mozzarella.,main dish,Italian,dinner,False,False,"Pound chicken breasts to even thickness. Set up breading station with flour, beaten eggs, and breadcrumbs mixed with parmesan. Coat each chicken piece in flour, then egg, then breadcrumbs. Pan-fry in oil for 4 minutes per side until golden. Transfer to a baking dish, top with marinara and mozzarella. Bake at 190 degrees Celsius for 15 minutes until cheese is melted. Serve over spaghetti with extra marinara and fresh basil.","[{""name"": ""chicken breast"", ""quantity"": 1.5, ""unit"": ""pound""}, {""name"": ""breadcrumbs"", ""quantity"": 1.5, ""unit"": ""cup""}, {""name"": ""marinara sauce"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""mozzarella"", ""quantity"": 1.5, ""unit"": ""cup""}, {""name"": ""parmesan"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""egg"", ""quantity"": 2, ""unit"": ""piece""}, {""name"": ""flour"", ""quantity"": 8, ""unit"": ""tablespoon""}]"
22,Breakfast Burrito,"Warm flour tortilla filled with scrambled eggs, cheese, beans, and salsa.",breakfast,Mexican,breakfast,False,True,"Scramble eggs in a pan until just set. Warm tortillas in a dry skillet. Heat black beans. Lay tortillas flat and divide eggs, beans, shredded cheese, and salsa among them. Add sliced avocado. Fold in sides and roll up tightly. Optional: brown burritos in a skillet for 2 minutes per side until crispy. Serve with sour cream and extra salsa on the side.","[{""name"": ""tortilla"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""egg"", ""quantity"": 6, ""unit"": ""piece""}, {""name"": ""black beans"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""cheddar cheese"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""salsa"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""avocado"", ""quantity"": 1, ""unit"": ""piece""}]"
23,Broccoli Cheddar Soup,Creamy soup with tender broccoli and sharp cheddar cheese.,soup,American,lunch,False,True,"Chop broccoli into small florets. Melt butter in a large pot and saute diced onion until soft. Add flour and cook for 1 minute, stirring constantly. Gradually whisk in milk and chicken broth. Add broccoli and simmer for 15 minutes until tender. Use an immersion blender to partially puree soup, leaving some chunks. Stir in shredded cheddar until melted. Season with salt, pepper, and nutmeg. Serve hot with extra cheese and croutons.","[{""name"": ""broccoli"", ""quantity"": 4, ""unit"": ""cup""}, {""name"": ""cheddar cheese"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""butter"", ""quantity"": 4, ""unit"": ""tablespoon""}, {""name"": ""flour"", ""quantity"": 4, ""unit"": ""tablespoon""}, {""name"": ""milk"", ""quantity"": 3, ""unit"": ""cup""}, {""name"": ""chicken broth"", ""quantity"": 2, ""unit"": ""cup""}]"
24,Spaghetti Carbonara,"Classic Roman pasta with crispy pancetta, eggs, and parmesan in a creamy sauce.",main dish,Italian,dinner,False,False,"Cook spaghetti in salted boiling water until al dente, reserve 1 cup pasta water. Dice pancetta and cook in a large skillet until crispy. Add minced garlic for 30 seconds. In a bowl, whisk eggs with grated parmesan and lots of black pepper. Drain pasta and add to skillet with pancetta. Remove from heat. Quickly toss in egg mixture, adding pasta water to create a creamy sauce. The heat from pasta cooks the eggs. Serve immediately with extra parmesan.","[{""name"": ""spaghetti"", ""quantity"": 1, ""unit"": ""pound""}, {""name"": ""pancetta"", ""quantity"": 0.5, ""unit"": ""pound""}, {""name"": ""egg"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""parmesan"", ""quantity"": 1.5, ""unit"": ""cup""}, {""name"": ""black pepper"", ""quantity"": 2, ""unit"": ""teaspoon""}, {""name"": ""garlic"", ""quantity"": 2, ""unit"": ""piece""}]"
25,Quesadillas,Grilled flour tortillas filled with melted cheese and optional fillings.,appetizer,Mexican,snack,False,True,"Dice bell pepper and onion, then saute until soft. Sprinkle shredded cheese on half of each tortilla. Add sauteed vegetables. Fold tortillas in half. Heat a large skillet over medium heat and cook quesadillas for 2-3 minutes per side until cheese is melted and tortilla is golden and crispy. Cut into wedges. Serve hot with sour cream, guacamole, and salsa for dipping.","[{""name"": ""tortilla"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""cheddar cheese"", ""quantity"": 2, ""unit"": ""cup""}, {""name"": ""bell pepper"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""onion"", ""quantity"": 0.5, ""unit"": ""piece""}, {""name"": ""sour cream"", ""quantity"": 0.5, ""unit"": ""cup""}]"
26,Huevos Rancheros,Mexican breakfast with fried eggs on tortillas topped with salsa and beans.,breakfast,Mexican,breakfast,False,True,Warm refried or whole black beans. Heat tortillas in a dry skillet until soft and pliable. Fry eggs sunny-side up or to desired doneness. Place one tortilla on each plate and spread with beans. Top with a fried egg. Spoon warm salsa over eggs. Sprinkle with shredded cheese and add sliced avocado. Garnish with cilantro and serve with lime wedges.,"[{""name"": ""egg"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""tortilla"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""black beans"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""salsa"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""cheddar cheese"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""avocado"", ""quantity"": 1, ""unit"": ""piece""}]"
27,Corn Chowder,"Creamy soup with sweet corn, potatoes, and bacon.",soup,American,lunch,False,False,"Cook bacon until crispy, crumble and set aside. In bacon fat, saute diced onion until soft. Add diced potatoes, corn, chicken broth, and thyme. Simmer for 20 minutes until potatoes are tender. Remove half the soup and puree until smooth, then return to pot. Stir in heavy cream and most of the bacon. Season with salt and pepper. Simmer for 5 more minutes. Serve hot topped with remaining bacon and fresh thyme.","[{""name"": ""corn"", ""quantity"": 4, ""unit"": ""cup""}, {""name"": ""potato"", ""quantity"": 3, ""unit"": ""piece""}, {""name"": ""bacon"", ""quantity"": 6, ""unit"": ""piece""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""chicken broth"", ""quantity"": 3, ""unit"": ""cup""}, {""name"": ""heavy cream"", ""quantity"": 1, ""unit"": ""cup""}, {""name"": ""thyme"", ""quantity"": 1, ""unit"": ""teaspoon""}]"
28,Breakfast Hash,"Skillet breakfast with crispy potatoes, eggs, peppers, and onions.",breakfast,American,breakfast,False,True,"Dice potatoes into small cubes. Heat oil in a large skillet and cook potatoes for 15 minutes until golden and crispy. Add diced onion and bell pepper, cook for 5 more minutes. Season with paprika, salt, and pepper. Make 4 wells in the hash and crack an egg into each. Cover and cook until eggs are set to your liking. Sprinkle with shredded cheese and let melt. Serve hot with hot sauce and toast.","[{""name"": ""potato"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""egg"", ""quantity"": 4, ""unit"": ""piece""}, {""name"": ""bell pepper"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""onion"", ""quantity"": 1, ""unit"": ""piece""}, {""name"": ""cheddar cheese"", ""quantity"": 0.5, ""unit"": ""cup""}, {""name"": ""paprika"", ""quantity"": 1, ""unit"": ""teaspoon""}]"
